Frequency,North_Port_Input,South_Port_Output,DS_AFE_Input
119522827.1480,3.3135,10.2300,-3.1197
119623352.0510,4.9030,12.2300,-1.6597
119723876.9530,-3.7776,2.4800,-10.7197
119824401.8550,0.8118,7.1901,-5.8797
119924926.7580,-4.3087,2.8201,-11.4397
120025451.6600,-9.6393,-3.0099,-16.4997
120125976.5620,3.1801,9.9202,-3.2297
120226501.4650,0.5095,7.4502,-5.9797
120327026.3670,5.9390,12.6803,-0.0197
120427551.2700,5.1484,11.5103,-1.5797
120528076.1720,6.0283,13.2903,0.5103
120628601.0740,5.9788,13.3604,0.4803
120729125.9770,5.9594,13.3605,0.1103
120829650.8790,5.9200,13.3605,0.2603
120930175.7810,6.3705,13.6406,0.0603
121030700.6840,6.3911,13.5407,0.1903
121131225.5860,6.1816,13.8107,0.1903
121231750.4880,6.4222,13.8208,0.3003
121332275.3910,6.5728,13.7909,0.0503
121432800.2930,6.1633,13.7209,-0.0397
121533325.1950,6.0839,13.8710,-0.1897
121633850.0980,6.4744,13.8811,-0.0997
121734375.0000,6.3450,13.2211,0.7103
121834899.9020,6.0055,13.6612,0.1403
121935424.8050,6.7663,13.5411,-0.1197
122035949.7070,6.5073,13.2908,0.0803
122136474.6090,6.5183,13.3905,0.3903
122236999.5120,6.9693,13.4303,0.3403
122337524.4140,6.4802,13.1100,0.4003
122438049.3160,6.3812,13.2498,0.3803
122538574.2190,6.3122,12.8195,0.1603
122639099.1210,6.3731,12.8392,0.1503
122739624.0230,6.6541,13.2190,0.3603
122840148.9260,6.6151,13.3287,0.1603
122940673.8280,6.3161,12.8684,0.1503
123041198.7300,6.4870,12.8082,0.0503
123141723.6330,5.8380,13.0379,-0.3997
123242248.5350,6.2590,13.0877,-0.0397
123342773.4380,6.0891,13.4674,0.2803
123443298.3400,6.1791,13.3371,-0.0897
123543823.2420,6.1590,13.6268,0.1503
123644348.1450,6.1190,13.2665,0.2303
123744873.0470,6.0089,13.5762,-0.0597
123845397.9490,6.0989,13.7860,-0.0697
123945922.8520,6.6888,13.4457,0.1203
124046447.7540,6.4587,13.6554,-0.1397
124146972.6560,6.3887,13.4051,-0.1497
124247497.5590,6.2086,13.4248,0.2403
124348022.4610,6.1086,12.8345,-0.1097
124448547.3630,6.5785,13.0043,-0.1897
124549072.2660,6.4285,13.1040,-0.0697
124649597.1680,6.2084,12.9137,-0.4297
124750122.0700,6.1767,12.9639,-0.1297
124850646.9730,6.1350,13.2942,-0.0897
124951171.8750,6.1533,13.2144,0.4603
125051696.7770,6.0116,13.2546,0.1103
125152221.6800,5.8899,13.2949,0.2903
125252746.5820,6.0582,13.1751,0.3803
125353271.4840,5.4064,12.5853,-1.4397
125453796.3870,5.5947,13.1756,-0.0397
125554321.2890,2.1430,8.8258,-4.3397
125654846.1910,4.2813,11.1661,-2.1797
125755371.0940,-6.5804,0.1663,-12.6697
125855895.9960,-0.7821,5.5265,-7.6097
125956420.8980,-3.0238,3.7768,-9.4497
126056945.8010,-9.7855,-3.0030,-15.6397
126157470.7030,3.9729,10.5875,-2.5697
126257995.6050,1.2314,8.1379,-5.0597
126358520.5080,5.6698,12.7183,-0.6197
126459045.4100,5.2183,11.9687,-1.3397
126559570.3120,6.2767,12.9892,-0.0697
126660095.2150,6.1752,12.8496,-0.4697
126760620.1170,6.1336,13.2100,0.0103
126861145.0200,6.0621,12.9705,0.2603
126961669.9220,5.9705,13.7809,-0.2197
127062194.8240,5.9990,13.6313,-0.0797
127162719.7270,5.9974,13.3217,-0.5297
127263244.6290,5.6559,13.4922,-0.3197
127363769.5310,5.9243,12.8926,0.0803
127464294.4340,6.1241,13.2228,-0.1897
127564819.3360,6.3058,12.8327,-0.2097
127665344.2380,5.8776,12.4925,-0.0797
127765869.1410,6.5794,13.2224,-0.1897
127866394.0430,6.5111,13.2423,-0.1397
127966918.9450,6.5729,13.1222,0.2603
128067443.8480,6.6946,12.9420,0.0103
