Frequency,North_Port_Input,South_Port_Output,DS_AFE_Input
120628601.0740,2.0029,10.6215,-9.0697
120729125.9770,2.3218,10.8520,-8.3497
120829650.8790,2.2306,11.4625,-8.9197
120930175.7810,2.2495,10.1830,-8.6597
121030700.6840,2.3584,10.3135,-8.3897
121131225.5860,1.9273,10.6040,-8.5597
121231750.4880,1.9962,10.3846,-8.4497
121332275.3910,2.3250,10.6551,-8.4097
121432800.2930,2.0339,10.6556,-8.3997
121533325.1950,1.8028,10.8061,-8.9097
121633850.0980,2.1117,11.0866,-8.6497
121734375.0000,2.0406,11.1171,-9.2797
121834899.9020,1.9894,10.8776,-9.3097
121935424.8050,2.1998,10.8981,-8.3997
122035949.7070,2.0511,11.2785,-8.5597
122136474.6090,2.1224,10.6390,-8.5497
122236999.5120,2.1437,10.6694,-8.7397
122337524.4140,2.1250,10.4498,-8.5497
122438049.3160,2.2463,10.4903,-8.5397
122538574.2190,2.4777,10.8307,-8.6697
122639099.1210,2.1890,10.7411,-8.4597
122739624.0230,2.4503,10.9516,-8.6597
122840148.9260,2.5716,11.0320,-8.6797
122940673.8280,2.2729,10.7824,-8.9197
123041198.7300,2.1742,10.5929,-8.8397
123141723.6330,2.4755,10.5933,-8.5697
123242248.5350,2.7068,10.9938,-8.5597
123342773.4380,1.8185,10.7839,-8.6597
123443298.3400,2.0602,10.5241,-8.8897
123543823.2420,1.8119,10.8642,-8.9497
123644348.1450,1.6836,11.0644,-8.7797
123744873.0470,1.8253,10.2045,-9.1697
123845397.9490,1.7270,10.3346,-8.8897
123945922.8520,1.5487,10.4548,-9.0297
124046447.7540,2.1904,10.4249,-9.2297
124146972.6560,2.1421,10.0550,-8.8697
124247497.5590,1.6638,10.3552,-8.9197
124348022.4610,1.8955,10.5753,-9.0297
124448547.3630,2.1872,10.2454,-9.1597
124549072.2660,2.0989,10.6156,-8.6197
124649597.1680,1.8805,10.5057,-8.6197
124750122.0700,2.0611,11.0357,-8.8397
124850646.9730,2.0716,10.7956,-8.8397
124951171.8750,1.7121,10.6756,-8.7997
125051696.7770,1.8626,10.8656,-8.7997
125152221.6800,1.8131,10.5255,-9.0397
125252746.5820,1.8236,10.5455,-8.8797
125353271.4840,1.0741,9.9255,-9.7197
125453796.3870,1.6546,10.4954,-9.2497
125554321.2890,-1.9349,6.5354,-12.5397
125654846.1910,-0.2644,8.6153,-10.4897
125755371.0940,-10.5539,-2.0447,-21.6197
125855895.9960,-5.0634,3.1953,-15.9397
125956420.8980,-6.9629,1.4852,-17.9297
126056945.8010,-13.5026,-4.7748,-24.2197
126157470.7030,-0.7132,7.6052,-11.7897
126257995.6050,-3.0738,5.2352,-14.3297
126358520.5080,1.6556,10.2952,-9.2097
126459045.4100,0.6250,8.8752,-10.1997
126559570.3120,1.8145,10.3652,-9.1297
126660095.2150,2.0639,10.7952,-9.0697
126760620.1170,1.5433,10.7452,-8.7497
126861145.0200,1.6527,10.2151,-8.8797
126961669.9220,1.9021,10.3551,-8.7497
127062194.8240,1.3815,11.0651,-8.6697
127162719.7270,2.1310,10.5651,-8.7997
127263244.6290,2.1804,10.1951,-8.8997
127363769.5310,0.9698,10.2251,-8.8897
127464294.4340,1.7393,10.4051,-8.8297
127564819.3360,1.7989,11.0951,-8.9197
127665344.2380,1.0286,10.7851,-8.8997
127765869.1410,2.0383,10.5052,-8.9697
127866394.0430,2.4479,10.4752,-8.9497
127966918.9450,1.3476,10.6552,-8.6397
128067443.8480,1.5772,10.6552,-8.6397
128167968.7500,1.3069,10.6653,-8.9197
128268493.6520,1.1465,10.8853,-8.8897
128369018.5550,1.8762,10.0953,-8.6497
128469543.4570,1.6359,10.1953,-8.7197
128570068.3590,1.5755,10.2453,-8.9197
128670593.2620,1.9052,10.3854,-8.7297
128771118.1640,2.0248,10.1254,-8.6697
128871643.0660,1.7353,10.0054,-8.6697
128972167.9690,1.6864,10.3654,-8.9197
129072692.8710,1.9176,10.3255,-9.0297
129173217.7730,2.1987,10.7655,-8.8897
129273742.6760,1.8798,10.4555,-8.6997
129374267.5780,2.0309,10.4155,-9.1097
129474792.4800,2.1920,10.7356,-9.0297
129575317.3830,1.9931,10.3156,-8.8597
129675842.2850,1.9843,10.4556,-8.8997
129776367.1880,1.6354,10.3956,-8.7897
129876892.0900,1.6665,10.4357,-8.8897
129977416.9920,1.8876,10.4957,-9.4297
130077941.8950,1.8587,10.3957,-8.7797
130178466.7970,1.6198,10.3957,-8.7297
130278991.6990,1.7414,9.9157,-9.1597
130379516.6020,1.3731,11.0357,-8.9897
130480041.5040,1.4048,11.1256,-8.8197
130580566.4060,1.8865,10.4056,-9.3497
130681091.3090,1.8182,10.4456,-9.0597
130781616.2110,1.8299,10.6755,-8.9197
130882141.1130,1.7716,10.5555,-9.2397
130982666.0160,1.7033,10.8954,-8.4997
131083190.9180,1.6849,10.9154,-8.6097
131183715.8200,1.7866,10.7654,-8.9097
131284240.7230,1.8983,11.0353,-8.5797
131384765.6250,1.1900,9.5753,-9.8097
131485290.5270,1.4717,10.3552,-9.2397
131585815.4300,-2.7566,5.5652,-13.6897
