Frequency,North_Port_Input,South_Port_Output,DS_AFE_Input
136209960.9380,6.9558,10.5849,-5.8997
136310485.8400,7.0963,10.4951,-5.8997
136411010.7420,7.3869,11.1053,-5.8797
136511535.6450,7.1874,10.8655,-6.0097
136612060.5470,7.0279,10.7657,-5.9897
136712585.4490,7.2085,10.7659,-5.9197
136813110.3520,7.0290,10.5561,-6.0197
136913635.2540,7.2795,11.0563,-5.9897
137014160.1560,7.6401,11.0165,-6.1997
137114685.0590,7.2106,10.5467,-6.1397
137215209.9610,7.1802,11.0968,-5.5297
137315734.8630,7.9095,11.3470,-5.7997
137416259.7660,5.2488,9.4872,-6.9197
137516784.6680,5.9281,10.4974,-5.8797
137617309.5700,1.2974,4.9876,-12.1797
137717834.4730,3.8267,8.0778,-9.2697
137818359.3750,-6.2440,-2.4921,-18.8197
137918884.2770,-3.0046,0.3581,-15.7897
138019409.1800,0.8047,4.9483,-12.2297
138119934.0820,-3.6260,0.1985,-16.3697
138220458.9840,4.9133,9.7887,-7.2997
138320983.8870,3.5026,8.0188,-9.4997
138421508.7890,6.8319,10.7290,-5.7097
138522033.6910,5.6512,10.7792,-6.1497
138622558.5940,7.0094,10.3294,-5.7597
138723083.4960,7.5375,10.5597,-5.5897
138823608.3980,7.1156,10.5499,-5.6897
138924133.3010,7.1737,10.4702,-5.6297
139024658.2030,7.0618,10.4104,-5.8897
139125183.1050,6.7499,10.4906,-5.8497
139225708.0080,6.8480,10.5509,-6.4497
139326232.9100,7.1361,10.4611,-6.2497
139426757.8120,7.4442,11.0714,-5.8497
139527282.7150,6.9123,10.8316,-6.2097
139627807.6170,7.3704,10.8318,-5.7397
139728332.5200,7.4485,10.8521,-5.5097
139828857.4220,7.4266,10.8523,-5.9197
139929382.3240,7.3948,10.7725,-5.6697
140029907.2270,7.1535,11.0828,-5.7397
140130432.1290,7.1723,11.0331,-5.8397
140230957.0310,7.0111,10.3833,-5.8897
140331481.9340,7.0698,11.0136,-5.8597
140432006.8360,7.2986,10.7138,-5.9197
140532531.7380,7.0773,10.5241,-5.6597
140633056.6410,7.6761,11.0043,-6.0497
140733581.5430,7.5549,10.8846,-5.8597
140834106.4450,7.3336,11.1749,-5.7997
140934631.3480,7.4824,11.2051,-5.7897
141035156.2500,6.5711,11.0554,-5.6697
141135681.1520,7.1899,10.8856,-5.8997
141236206.0550,6.4587,10.9059,-5.6297
141336730.9570,6.2783,11.0461,-5.6297
141437255.8590,6.3195,10.5861,-5.8797
141537780.7620,6.7107,10.7861,-5.6997
141638305.6640,6.4819,10.6561,-5.7197
141738830.5660,6.2331,10.4761,-6.1397
141839355.4690,6.6344,11.3162,-6.0897
141939880.3710,6.6256,10.9562,-5.7497
142040405.2730,6.7668,10.6062,-5.8897
142140930.1760,6.9380,11.2162,-5.9497
142241455.0780,7.4392,11.0362,-5.7997
142341979.9800,7.1404,10.6062,-6.0297
142442504.8830,7.2416,11.4063,-5.7097
142543029.7850,7.1928,11.1063,-5.9497
142643554.6880,7.2940,11.4963,-5.5297
142744079.5900,7.4260,11.5462,-5.4797
142844604.4920,6.7884,11.2060,-5.4397
142945129.3950,6.7609,11.3657,-5.5097
143045654.2970,7.3934,11.9255,-5.4397
143146179.1990,7.2059,11.5353,-5.1897
143246704.1020,7.0684,11.4851,-5.7797
143347229.0040,7.4609,11.7148,-5.7797
143447753.9060,5.3734,9.7846,-7.6497
143548278.8090,6.5259,10.8444,-6.2297
143648803.7110,-0.3416,4.6042,-12.4497
143749328.6130,3.1408,7.8440,-9.6497
143849853.5160,-6.1767,-1.8863,-18.6997
143950378.4180,-4.9542,0.0535,-16.9397
144050903.3200,1.3683,5.3733,-12.3297
144151428.2230,-2.7403,1.5932,-15.7597
144251953.1250,5.5807,9.5031,-7.7397
144352478.0270,4.0017,7.7630,-9.5197
144453002.9300,6.7327,10.8929,-5.9597
144553527.8320,6.2337,10.3628,-6.6497
