Frequency,North_Port_Input,South_Port_Output,DS_AFE_Input
125252746.5820,3.6260,11.0137,-5.9097
125353271.4840,2.9989,10.1838,-6.8997
125453796.3870,3.4217,10.4439,-6.1897
125554321.2890,-0.3454,6.9440,-9.9397
125654846.1910,1.6474,9.0941,-7.9197
125755371.0940,-9.2097,-1.5458,-18.8097
125855895.9960,-3.5269,3.9242,-13.3097
125956420.8980,-5.4940,0.8943,-15.5997
126056945.8010,-11.9515,-4.9557,-21.8197
126157470.7030,0.6096,8.0942,-9.4097
126257995.6050,-1.8293,5.2940,-11.5997
126358520.5080,3.2117,9.8837,-6.2097
126459045.4100,2.3528,9.4736,-7.3997
126559570.3120,3.0239,10.6534,-6.4797
126660095.2150,3.2550,10.1931,-6.2097
126760620.1170,3.4261,10.3029,-5.7797
126861145.0200,3.0872,10.2627,-6.1297
126961669.9220,3.7483,10.0125,-6.4597
127062194.8240,3.4294,10.4223,-6.1197
127162719.7270,3.6705,10.9821,-5.8997
127263244.6290,3.7916,10.6619,-6.1497
127363769.5310,3.7627,10.1017,-6.7597
127464294.4340,3.7632,10.3616,-6.4797
127564819.3360,3.6628,10.3915,-6.1397
127665344.2380,3.5924,10.4114,-6.6797
127765869.1410,3.8721,10.1413,-6.7097
127866394.0430,3.9817,10.3711,-6.5197
127966918.9450,3.4213,10.8410,-6.3397
128067443.8480,3.7010,10.4409,-6.2697
128167968.7500,3.7806,10.3908,-6.5797
128268493.6520,3.6102,10.6207,-6.6997
128369018.5550,3.6899,10.7206,-6.4897
128469543.4570,3.7095,10.4905,-6.7397
128570068.3590,3.5891,10.3904,-5.9397
128670593.2620,3.7787,10.4203,-5.9697
128771118.1640,3.4284,10.6902,-6.0397
128871643.0660,3.3479,10.6503,-6.1497
128972167.9690,3.0975,10.5005,-6.8597
129072692.8710,3.4170,10.4908,-6.4197
129173217.7730,3.5265,10.3610,-6.7397
129273742.6760,3.3360,10.6912,-6.7497
129374267.5780,3.6355,10.8815,-5.8997
129474792.4800,3.4850,10.5117,-6.7297
129575317.3830,3.5746,10.4619,-6.1297
129675842.2850,3.6941,10.7922,-5.7897
129776367.1880,3.7836,10.3324,-6.1197
129876892.0900,3.6931,10.2626,-6.3397
129977416.9920,3.5726,10.7429,-5.8897
130077941.8950,3.5122,11.0531,-5.9497
130178466.7970,3.2217,10.6433,-6.1997
130278991.6990,3.5311,10.4437,-5.9397
130379516.6020,3.4506,10.2942,-5.7797
130480041.5040,3.1200,10.3846,-6.2497
130580566.4060,3.3995,10.6750,-6.3997
130681091.3090,3.7989,10.4254,-6.1197
130781616.2110,3.5384,10.5059,-6.1497
130882141.1130,3.4178,10.6263,-6.3797
130982666.0160,3.0673,10.7267,-6.0797
131083190.9180,3.1167,10.4772,-6.0897
131183715.8200,3.6862,10.4976,-6.1597
131284240.7230,3.1756,10.6280,-6.0797
131384765.6250,2.5451,8.9585,-7.4197
131485290.5270,3.4945,9.8089,-6.4697
131585815.4300,-1.4560,6.0193,-11.4097
131686340.3320,0.7834,8.0397,-8.9897
131786865.2340,-11.8172,-4.8600,-21.3297
131887390.1370,-5.0478,2.1203,-14.7497
131987915.0390,-39.3584,-22.5993,-50.1697
132088439.9410,-23.7990,-16.2290,-33.4697
132188964.8440,-41.0396,-22.6886,-51.9197
132289489.7460,-40.7001,-22.8383,-51.8897
132390014.6480,-41.7007,-22.6880,-51.9597
132490539.5510,-41.7213,-22.7776,-51.8497
132591064.4530,-41.1819,-23.0573,-51.9797
132691589.3550,-41.4325,-22.7770,-52.2497
132792114.2580,-40.6331,-23.4466,-51.2297
132892639.1600,-41.0037,-23.0163,-51.8497
132993164.0620,19.7058,26.7840,9.9303
