Frequency,North_Port_Input,South_Port_Output,DS_AFE_Input
123744873.0470,-39.0417,-22.6381,-45.3797
123845397.9490,-39.4719,-22.7378,-45.6097
123945922.8520,-36.4522,-21.8075,-41.8897
124046447.7540,-37.7325,-21.9472,-43.3297
124146972.6560,-35.1728,-21.1069,-41.8797
124247497.5590,-35.4931,-21.1266,-41.5197
124348022.4610,-37.0633,-22.1663,-43.9597
124448547.3630,-35.5836,-21.6660,-42.4797
124549072.2660,-38.2239,-22.8557,-44.9897
124649597.1680,-38.4742,-22.9653,-45.5797
124750122.0700,-35.6239,-21.6548,-41.5097
124850646.9730,-36.7537,-22.3142,-42.7297
124951171.8750,-34.6434,-21.5536,-40.5497
125051696.7770,-34.7432,-21.3031,-40.9497
125152221.6800,-37.1129,-22.3225,-43.6297
125252746.5820,-35.7227,-21.8619,-41.6397
125353271.4840,-38.1724,-22.7414,-44.8097
125453796.3870,-38.3421,-22.7008,-45.0997
125554321.2890,-34.4919,-21.0803,-40.9397
125654846.1910,-36.6316,-22.1597,-42.8997
125755371.0940,-33.6914,-20.9191,-39.9097
125855895.9960,-33.4111,-20.5986,-39.6697
125956420.8980,-36.3909,-21.6580,-43.2597
126056945.8010,-34.6909,-21.2075,-41.3897
126157470.7030,-38.3920,-22.6173,-44.5997
126257995.6050,-38.7931,-22.2572,-45.2297
126358520.5080,-33.8341,-20.9070,-40.5497
126459045.4100,-35.5852,-21.5769,-42.2197
126559570.3120,-34.2863,-20.6867,-39.7497
126660095.2150,-33.8674,-20.7565,-40.1497
126760620.1170,-37.5785,-22.0864,-43.3097
126861145.0200,-35.2896,-21.0462,-40.7097
126961669.9220,-38.1606,-22.6061,-45.5497
127062194.8240,-39.2017,-22.6059,-45.8197
127162719.7270,-32.6428,-20.4658,-40.0997
127263244.6290,-35.4639,-21.7556,-42.5197
127363769.5310,-30.3550,-18.9554,-37.7997
127464294.4340,-30.9663,-19.3455,-38.5097
127564819.3360,-33.6280,-20.7060,-41.3797
127665344.2380,-31.1997,-19.3166,-38.6497
127765869.1410,-35.4114,-21.2571,-43.0597
127866394.0430,-36.8931,-21.8776,-44.6897
127966918.9450,-29.6648,-17.9781,-37.2297
128067443.8480,-31.8265,-19.6186,-39.3297
128167968.7500,-28.6382,-16.6691,-36.4997
128268493.6520,-28.4899,-16.7396,-36.4697
128369018.5550,-32.3516,-19.6901,-39.7697
128469543.4570,-29.7633,-17.9007,-37.4697
128570068.3590,-34.0249,-20.4412,-41.4897
128670593.2620,-35.5966,-21.0417,-43.0697
128771118.1640,-28.1783,-15.8022,-34.4697
128871643.0660,-30.7388,-18.0028,-37.4797
128972167.9690,-26.1585,-14.0835,-31.0897
129072692.8710,-26.3881,-14.5042,-32.2397
129173217.7730,-29.4577,-16.1649,-34.2397
129273742.6760,-27.2774,-14.3556,-31.7997
129374267.5780,-31.1470,-17.8563,-36.9097
129474792.4800,-32.4967,-18.7969,-38.3197
129575317.3830,-25.8563,-12.6276,-30.8697
129675842.2850,-27.6759,-14.5483,-33.0197
129776367.1880,-25.2356,-12.0890,-30.3297
129876892.0900,-25.1352,-12.0597,-30.0397
129977416.9920,-29.6448,-16.5504,-34.4897
130077941.8950,-26.7045,-13.8511,-31.5797
130178466.7970,-32.3741,-18.8318,-37.5797
130278991.6990,-33.5716,-19.1321,-38.9597
130379516.6020,-26.9985,-14.8623,-30.3897
130480041.5040,-29.1355,-16.6625,-33.1197
130580566.4060,-26.3824,-12.5027,-28.0497
130681091.3090,-26.0393,-13.0329,-28.7797
130781616.2110,-29.7263,-15.6431,-31.9197
130882141.1130,-27.3032,-13.4134,-28.9997
130982666.0160,-32.4701,-17.9836,-34.6497
131083190.9180,-33.1570,-18.8438,-36.5697
131183715.8200,-26.5440,-12.5040,-27.6097
131284240.7230,-28.8209,-14.4742,-30.4297
131384765.6250,-25.3878,-12.4844,-26.9097
131485290.5270,-25.2748,-12.1146,-26.4497
131585815.4300,-29.9117,-16.5649,-30.5897
131686340.3320,-27.0695,-13.7544,-27.9197
131786865.2340,-16.3973,-7.1940,-21.9297
131887390.1370,-31.3452,-18.5136,-34.1597
131987915.0390,0.7370,9.2068,-4.8697
132088439.9410,-5.5308,3.1372,-11.1097
132188964.8440,6.6213,14.8576,0.8103
132289489.7460,4.2135,12.7680,-1.2297
132390014.6480,9.0657,17.6384,3.1503
132490539.5510,7.7978,16.7288,2.2703
132591064.4530,8.7200,16.7393,3.0203
132691589.3550,9.1721,17.1397,3.1303
132792114.2580,8.8043,17.1201,3.2003
132892639.1600,9.1165,17.0005,2.9803
132993164.0620,8.9480,16.5909,3.0203
133093688.9650,8.6766,16.8215,3.1303
133194213.8670,9.2353,16.6120,3.8103
133294738.7700,9.3139,16.5125,3.6803
133395263.6720,9.4526,15.6930,3.1103
133495788.5740,8.8912,16.3336,3.4303
133596313.4770,8.1298,14.0141,2.7303
133696838.3790,9.1385,14.8046,3.1403
133797363.2810,6.8371,13.7752,1.1703
133897888.1840,7.5957,13.8357,1.7903
133998413.0860,6.1544,12.2462,0.2803
134098937.9880,6.5830,13.0468,0.6103
134199462.8910,5.7816,10.6273,-0.1297
134299987.7930,5.5703,11.5778,0.3303
134400512.6950,4.6289,10.3282,-1.1097
134501037.5980,5.4675,10.3083,-0.5897
134601562.5000,3.4460,9.4083,-2.7197
134702087.4020,3.9446,9.6684,-2.0697
134802612.3050,2.6632,7.9985,-3.2497
134903137.2070,2.9118,8.7686,-3.0497
135003662.1090,1.9803,7.3387,-4.1197
135104187.0120,2.2389,7.4688,-3.7997
135204711.9140,1.8975,7.3089,-3.9697
135305236.8160,1.9560,7.3090,-3.8997
135405761.7190,1.6946,7.6691,-4.0997
135506286.6210,2.0332,7.3092,-3.7497
135606811.5230,2.1818,7.9693,-4.0497
135707336.4260,1.8103,7.8194,-4.1997
135807861.3280,2.2996,8.1292,-3.8297
135908386.2300,2.3994,8.1987,-3.7897
136008911.1330,2.3393,8.4083,-3.3397
136109436.0350,2.1191,8.3879,-3.4097
136209960.9380,2.7989,9.0575,-3.4697
136310485.8400,2.8487,8.5471,-3.3697
136411010.7420,2.7386,10.0367,-3.2497
136511535.6450,2.7384,9.6863,-3.5397
136612060.5470,2.8882,9.8158,-2.3297
136712585.4490,2.8880,9.8254,-2.6797
136813110.3520,3.4478,9.5150,-2.7397
136913635.2540,2.9177,9.9146,-2.5097
137014160.1560,3.3775,9.7542,-2.5097
137114685.0590,3.6273,9.4338,-2.5897
137215209.9610,3.5168,10.4232,-2.3697
137315734.8630,3.3862,10.3626,-2.5697
137416259.7660,2.1657,8.6520,-3.3897
137516784.6680,3.0951,9.6814,-2.5897
137617309.5700,-2.2555,4.5109,-8.0697
137717834.4730,0.3340,7.0903,-5.0597
137818359.3750,-7.9666,-0.4003,-13.2797
137918884.2770,-6.5472,1.2891,-11.8097
138019409.1800,-2.7477,4.2085,-8.8197
138119934.0820,-6.7083,0.5979,-12.6197
138220458.9840,1.6111,9.0873,-4.4497
138320983.8870,-0.1395,7.1267,-5.9297
138421508.7890,3.5000,11.0161,-2.5197
138522033.6910,2.8294,10.5755,-3.4797
138622558.5940,3.4285,10.2554,-1.6697
138723083.4960,3.3276,10.5652,-1.9197
138823608.3980,3.8367,10.3151,-2.0497
138924133.3010,3.8458,10.3849,-1.7497
139024658.2030,4.2648,10.4148,-2.1797
139125183.1050,3.5439,10.4147,-2.1897
139225708.0080,3.8430,10.6745,-1.8697
139326232.9100,4.1221,10.6744,-2.3897
139426757.8120,3.6612,9.9342,-2.5497
139527282.7150,3.8403,9.9141,-2.1697
139627807.6170,3.4094,10.4839,-2.4097
139728332.5200,3.5584,10.4538,-2.3297
139828857.4220,3.2975,10.7237,-2.3797
139929382.3240,3.1365,10.5836,-2.3997
140029907.2270,3.3352,10.3940,-1.9697
140130432.1290,3.0439,10.5944,-2.0297
140230957.0310,3.3726,10.3149,-2.2297
140331481.9340,3.4613,10.1253,-2.3997
140432006.8360,2.7100,10.1357,-1.7697
140532531.7380,2.6187,10.4061,-2.1197
140633056.6410,3.4973,10.3065,-2.4297
140733581.5430,3.1760,10.1070,-1.6797
140834106.4450,3.3347,9.7874,-2.4997
140934631.3480,3.7134,10.2578,-2.7497
141035156.2500,3.5421,10.4282,-2.5997
141135681.1520,3.1708,10.0987,-2.5597
141236206.0550,3.7695,10.4991,-2.2297
141336730.9570,3.6779,10.3495,-2.6797
141437255.8590,2.7759,10.0300,-2.6397
141537780.7620,3.4139,10.4804,-2.2897
141638305.6640,3.4319,10.1009,-2.3197
141738830.5660,3.0799,10.2013,-2.5097
141839355.4690,3.5479,10.2918,-2.2697
141939880.3710,3.6859,10.4022,-2.1997
142040405.2730,3.7039,9.9027,-2.2997
142140930.1760,3.4519,9.9031,-2.1097
142241455.0780,3.1699,9.7336,-2.5597
142341979.9800,3.2079,10.0840,-2.7397
142442504.8830,2.8759,10.4545,-1.9097
142543029.7850,3.1239,10.2649,-2.3697
142643554.6880,3.4719,10.2854,-2.5497
142744079.5900,3.1995,10.2956,-2.1997
142844604.4920,3.1269,10.4157,-2.4097
142945129.3950,3.0843,10.1359,-2.2497
143045654.2970,3.2716,10.2260,-2.5197
143146179.1990,3.3490,10.5861,-2.6697
143246704.1020,3.0264,9.9963,-2.5397
143347229.0040,2.8238,10.1364,-2.4797
143447753.9060,1.3311,8.2265,-4.5897
143548278.8090,2.7285,9.4567,-3.3997
143648803.7110,-4.1341,3.3968,-10.1297
143749328.6130,-1.0068,6.3969,-6.6397
143849853.5160,-12.7094,-5.6430,-17.9997
143950378.4180,-9.3620,-1.7628,-15.4897
144050903.3200,-2.4846,4.9073,-7.6697
144151428.2230,-6.6857,0.7772,-11.6297
144251953.1250,1.7837,9.4969,-4.1897
144352478.0270,-0.0169,7.6767,-5.3297
144453002.9300,2.7925,9.9065,-2.9197
144553527.8320,2.4119,10.1862,-3.2297
144654052.7340,3.1113,10.3960,-1.8197
144754577.6370,3.1808,9.7958,-2.5297
144855102.5390,3.3502,10.2256,-2.3397
144955627.4410,3.1696,10.6953,-1.7697
145056152.3440,3.0690,10.7951,-2.7197
145156677.2460,3.3484,10.6249,-3.0497
145257202.1480,3.1878,9.6846,-2.3697
145357727.0510,2.9072,10.0044,-2.3397
145458251.9530,3.6267,9.5042,-2.3297
145558776.8550,3.4896,9.6239,-2.1797
145659301.7580,3.7126,10.3537,-1.7297
145759826.6600,3.8157,10.2034,-2.3997
145860351.5620,3.5788,9.8532,-1.8797
145960876.4650,3.6518,10.0429,-1.5697
146061401.3670,3.4749,9.8627,-2.5797
146161926.2700,3.4079,9.7624,-2.2697
146262451.1720,3.1110,10.0322,-2.4697
146362976.0740,3.2541,9.9520,-2.7997
146463500.9770,3.2671,10.4117,-2.0197
146564025.8790,3.2902,10.5915,-2.1097
146664550.7810,3.2333,10.6212,-2.3997
146765075.6840,2.9163,10.4510,-2.2797
146865600.5860,3.4493,10.9308,-2.2997
146966125.4880,3.6521,10.6609,-2.5397
147066650.3910,3.0449,10.2810,-2.5797
147167175.2930,3.2177,10.6211,-2.3497
147267700.1950,3.7305,10.0211,-2.4297
147368225.0980,3.4133,10.1313,-2.4297
147468750.0000,2.7861,10.1813,-2.4297
147569274.9020,3.4889,10.1714,-2.5997
147669799.8050,3.3817,10.4415,-2.6997
147770324.7070,2.5644,10.5316,-2.6397
147870849.6090,2.9572,10.1917,-2.6697
147971374.5120,3.3300,10.2018,-2.6897
148071899.4140,3.5828,10.1019,-1.8097
148172424.3160,3.4756,10.3120,-2.1497
148272949.2190,3.0778,9.7822,-2.2597
148373474.1210,3.1491,10.1026,-2.1597
148473999.0230,3.4004,10.4830,-2.7197
148574523.9260,3.2016,10.1134,-2.6197
148675048.8280,3.5829,9.7238,-2.0997
148775573.7300,3.6741,9.8842,-2.4397
148876098.6330,3.2354,10.1046,-2.8197
148976623.5350,3.5767,9.8550,-2.3997
149077148.4380,3.6279,10.0754,-2.4997
149177673.3400,3.0292,10.1558,-3.0297
149278198.2420,2.5104,10.3162,-2.4897
149378723.1450,3.3317,9.9666,-2.3897
149479248.0470,0.4829,8.0570,-4.7497
149579772.9490,1.7742,9.5274,-3.1497
149680297.8520,-5.2640,2.4678,-11.3497
149780822.7540,-1.8118,6.0082,-7.2697
149881347.6560,-10.2396,-3.4314,-16.0697
149981872.5590,-11.5573,-3.6710,-17.4597
150082397.4610,-1.3251,5.8594,-6.8697
150182922.3630,-4.3829,2.3698,-10.2897
150283447.2660,2.2393,9.7102,-3.2597
150383972.1680,0.7515,8.2006,-4.8397
150484497.0700,4.0338,10.1510,-2.5197
150585021.9730,3.5660,10.1714,-2.5097
150685546.8750,3.2182,10.5118,-2.3997
150786071.7770,3.6204,10.4721,-2.6997
150886596.6800,3.3426,10.6725,-2.7397
150987121.5820,3.4349,10.1629,-2.5897
151087646.4840,3.1073,10.9230,-2.3897
151188171.3870,3.0998,10.6729,-2.3997
151288696.2890,3.3524,10.9829,-2.2097
151389221.1910,3.1949,11.0128,-2.2697
151489746.0940,3.1674,10.2527,-2.5397
151590270.9960,3.2599,10.5926,-2.5897
151690795.8980,3.4325,10.1626,-2.4497
151791320.8010,3.3650,10.1725,-2.3197
151891845.7030,3.3975,10.4324,-2.4697
151992370.6050,3.5700,10.5024,-2.6097
152092895.5080,3.6526,10.2723,-2.6997
152193420.4100,3.5751,10.1722,-2.4597
152293945.3120,3.1476,10.3821,-2.2697
152394470.2150,3.3402,10.1521,-2.0797
152494995.1170,3.4210,10.4017,-2.0297
152595520.0200,3.2917,10.3913,-2.3897
152696044.9220,2.7524,10.5209,-2.7597
152796569.8240,3.4031,10.5805,-2.2197
152897094.7270,3.6338,10.1401,-3.0797
152997619.6290,2.8445,10.1696,-3.0697
