Frequency(MHz),Power(dBmV/100kHz)_20260203_093443
164.9981,-0.98
165.0981,-1.92
165.1981,-2.29
165.2981,-3.33
165.3981,-3.14
165.4981,-3.33
165.5981,-3.23
165.6981,-3.23
165.7981,-3.89
165.8981,-2.76
165.9981,-2.2
166.0981,-1.82
166.1981,-1.92
166.2981,-2.01
166.3981,-2.01
166.4981,-2.01
166.5981,-1.92
166.6981,-1.54
166.7981,-2.01
166.8981,-0.88
166.9981,-0.88
167.0981,-0.41
167.1981,-0.79
167.2981,-1.26
167.3981,-3.8
167.4981,-6.81
167.5981,-11.8
167.6981,-14.34
167.7981,-9.92
167.8981,-6.15
167.9981,-4.65
168.0981,-3.23
168.1981,-2.2
168.2981,-2.29
168.3981,-1.16
168.4981,-1.07
168.5981,-0.6
168.6981,-1.07
168.7981,-1.26
168.8981,-0.88
168.9981,-1.35
169.0981,-2.29
169.1981,-1.54
169.2981,-1.92
169.3981,-2.2
169.4981,-2.01
169.5981,-2.39
169.6981,-2.58
169.7981,-3.7
169.8981,-3.23
169.9981,-3.05
170.0981,-3.14
170.1981,-2.39
170.2981,-2.67
170.3981,-2.95
170.4981,-2.2
170.5981,-2.29
170.6981,-2.2
170.7981,-2.1
170.8981,-1.54
170.9981,-0.98
171.0981,-0.98
171.1981,-1.07
171.2981,-0.51
171.3981,-0.6
171.4981,-0.69
171.5981,-1.73
171.6981,-2.1
171.7981,-1.92
171.8981,-1.35
171.9981,-2.58
172.0981,-1.63
172.1981,-1.45
172.2981,-2.29
172.3981,-0.69
172.4981,-0.51
172.5981,-1.35
172.6981,-1.07
172.7981,-0.41
172.8981,-0.69
172.9981,-2.2
173.0981,-2.01
173.1981,-3.14
173.2981,-5.49
173.3981,-7.38
173.4981,-10.86
173.5981,-15.09
173.6981,-15.19
173.7981,-10.39
173.8981,-7.0
173.9981,-4.74
174.0981,-3.61
174.1981,-3.52
174.2981,-3.05
174.3981,-2.67
174.4981,-3.05
174.5981,-2.58
174.6981,-3.42
174.7981,-3.05
174.8981,-3.14
174.9981,-2.48
175.0981,-3.05
175.1981,-2.29
175.2981,-2.29
175.3981,-2.29
175.4981,-1.26
175.5981,-1.92
175.6981,-0.88
175.7981,-0.79
175.8981,-2.48
175.9981,-1.63
176.0981,-0.98
176.1981,-1.63
176.2981,-2.95
176.3981,-2.95
176.4981,-1.54
176.5981,-1.73
176.6981,-1.45
176.7981,-1.45
176.8981,-1.73
176.9981,-1.07
177.0981,-0.6
177.1981,-1.07
177.2981,-1.07
177.3981,-0.6
177.4981,-1.26
177.5981,-1.16
177.6981,-1.26
177.7981,-1.35
177.8981,-1.63
177.9981,-2.2
178.0981,-2.95
178.1981,-3.99
178.2981,-4.83
178.3981,-5.59
178.4981,-5.4
178.5981,-6.53
178.6981,-5.68
178.7981,-6.15
178.8981,-5.12
178.9981,-5.49
179.0981,-6.34
179.1981,-6.53
179.2981,-6.9
179.3981,-9.26
179.4981,-13.02
179.5981,-16.41
179.6981,-13.3
179.7981,-7.66
179.8981,-5.3
179.9981,-3.14
180.0981,-0.98
180.1981,-0.51
180.2981,0.34
180.3981,-0.03
180.4981,0.34
180.5981,0.15
180.6981,-0.22
180.7981,-0.22
180.8981,-1.35
180.9981,-1.54
181.0981,-1.54
181.1981,-1.92
181.2981,-2.95
181.3981,-2.95
181.4981,-3.23
181.5981,-3.05
181.6981,-3.52
181.7981,-2.67
181.8981,-3.33
181.9981,-3.61
182.0981,-5.02
182.1981,-4.74
182.2981,-5.12
182.3981,-5.3
182.4981,-5.4
182.5981,-5.78
182.6981,-6.15
182.7981,-5.78
182.8981,-5.78
182.9981,-5.59
183.0981,-5.49
183.1981,-5.49
183.2981,-4.55
183.3981,-4.08
183.4981,-3.89
183.5981,-3.42
183.6981,-2.01
183.7981,-1.45
183.8981,-1.16
183.9981,-0.03
184.0981,-0.88
184.1981,0.62
184.2981,0.53
184.3981,-0.22
184.4981,-0.79
184.5981,-0.51
184.6981,-1.82
184.7981,-2.1
184.8981,-2.01
184.9981,-1.92
185.0981,-2.29
185.1981,-3.23
185.2981,-6.43
185.3981,-8.22
185.4981,-12.93
185.5981,-16.22
185.6981,-13.02
185.7981,-9.92
185.8981,-7.66
185.9981,-7.47
186.0981,-7.28
186.1981,-7.47
186.2981,-7.94
186.3981,-7.75
186.4981,-6.25
186.5981,-5.3
186.6981,-4.65
186.7981,-3.89
186.8981,-3.23
186.9981,-3.42
187.0981,-4.74
187.1981,-3.52
187.2981,-3.33
187.3981,-3.7
187.4981,-3.61
187.5981,-4.08
187.6981,-3.7
187.7981,-3.14
187.8981,-3.42
187.9981,-2.95
188.0981,-3.7
188.1981,-2.95
188.2981,-1.82
188.3981,-1.73
188.4981,-0.13
188.5981,-1.82
188.6981,-1.73
188.7981,-1.63
188.8981,-2.1
188.9981,-2.67
189.0981,-2.01
189.1981,-2.76
189.2981,-3.05
189.3981,-4.36
189.4981,-4.08
189.5981,-4.55
189.6981,-5.12
189.7981,-5.49
189.8981,-5.21
189.9981,-5.02
190.0981,-6.15
190.1981,-4.74
190.2981,-5.68
190.3981,-4.93
190.4981,-4.83
190.5981,-3.89
190.6981,-3.61
190.7981,-3.61
190.8981,-4.18
190.9981,-3.89
191.0981,-4.36
191.1981,-5.78
191.2981,-7.75
191.3981,-10.2
191.4981,-15.0
191.5981,-15.85
191.6981,-11.61
191.7981,-7.09
191.8981,-5.78
191.9981,-4.65
192.0981,-4.27
192.1981,-4.65
192.2981,-4.93
192.3981,-6.62
192.4981,-6.15
192.5981,-6.72
192.6981,-7.09
192.7981,-5.96
192.8981,-5.21
192.9981,-3.05
193.0981,-2.95
193.1981,-1.82
193.2981,-2.2
193.3981,-2.1
193.4981,-2.01
193.5981,-1.45
193.6981,-2.1
193.7981,-3.8
193.8981,-3.52
193.9981,-3.61
194.0981,-3.7
194.1981,-4.74
194.2981,-4.55
194.3981,-5.3
194.4981,-3.99
194.5981,-4.36
194.6981,-3.8
194.7981,-4.27
194.8981,-4.08
194.9981,-4.27
195.0981,-3.8
195.1981,-5.3
195.2981,-5.78
195.3981,-6.72
195.4981,-8.22
195.5981,-7.85
195.6981,-7.09
195.7981,-6.9
