Frequency(MHz),Power(dBmV/100kHz)_20260203_091320
155.2981,-1.8
155.3981,-4.15
155.4981,-9.33
155.5981,-16.29
155.6981,-24.01
155.7981,-24.95
155.8981,-16.1
155.9981,-9.98
156.0981,-7.63
156.1981,-7.07
156.2981,-11.49
156.3981,-13.75
156.4981,-6.88
156.5981,-2.17
156.6981,0.84
156.7981,0.93
156.8981,0.27
156.9981,-2.08
157.0981,-6.22
157.1981,-3.21
157.2981,0.18
157.3981,1.31
157.4981,2.63
157.5981,1.31
157.6981,-0.1
157.7981,-2.36
157.8981,-4.71
157.9981,-3.49
158.0981,-3.21
158.1981,-2.27
158.2981,-2.55
158.3981,-2.93
158.4981,-5.0
158.5981,-7.82
158.6981,-10.36
158.7981,-11.21
158.8981,-8.1
158.9981,-5.47
159.0981,-4.43
159.1981,-4.53
159.2981,-4.62
159.3981,-7.35
159.4981,-6.41
159.5981,-4.43
159.6981,-3.21
159.7981,-2.74
159.8981,-0.85
159.9981,0.09
160.0981,1.03
160.1981,-1.8
160.2981,-3.21
160.3981,-4.05
160.4981,-3.68
160.5981,-2.74
160.6981,0.09
160.7981,0.09
160.8981,-0.48
160.9981,-3.77
161.0981,-12.62
161.1981,-10.93
161.2981,-5.37
161.3981,-5.18
161.4981,-6.78
161.5981,-11.77
161.6981,-19.49
161.7981,-25.89
161.8981,-14.31
161.9981,-6.5
162.0981,-2.45
162.1981,-1.51
162.2981,-1.61
162.3981,-1.8
162.4981,-2.93
162.5981,-5.56
162.6981,-4.9
162.7981,-2.55
162.8981,0.18
162.9981,0.56
163.0981,-0.76
163.1981,-3.21
163.2981,-5.75
163.3981,-8.95
163.4981,-5.94
163.5981,-2.45
163.6981,-0.85
163.7981,-1.89
163.8981,-5.28
163.9981,-9.7
164.0981,-9.14
164.1981,-7.07
164.2981,-6.03
164.3981,-4.9
164.4981,-3.96
164.5981,-3.4
164.6981,-2.83
164.7981,-0.85
164.8981,-1.61
164.9981,-3.87
165.0981,-4.05
165.1981,-1.33
165.2981,0.84
165.3981,1.5
165.4981,1.5
165.5981,0.74
165.6981,-1.04
