Frequency(MHz),Power(dBmV/100kHz)_20260203_084000
161.8981,-7.4
161.9981,-2.04
162.0981,1.07
162.1981,1.54
162.2981,-0.91
162.3981,-5.9
162.4981,-5.33
162.5981,-0.63
162.6981,1.44
162.7981,2.19
162.8981,0.22
162.9981,-2.79
163.0981,-4.58
163.1981,0.5
163.2981,2.01
163.3981,2.95
163.4981,0.97
163.5981,-0.91
163.6981,-6.93
163.7981,-4.2
163.8981,-0.06
163.9981,2.57
164.0981,3.23
164.1981,1.54
164.2981,-1.57
164.3981,-6.18
164.4981,-3.17
164.5981,0.88
164.6981,1.82
164.7981,1.82
164.8981,-0.44
164.9981,-4.49
165.0981,-3.92
165.1981,0.41
165.2981,2.76
165.3981,2.85
165.4981,1.54
165.5981,-3.55
165.6981,-9.85
165.7981,-3.08
165.8981,1.54
165.9981,3.61
166.0981,1.72
166.1981,-0.16
166.2981,-4.58
166.3981,-4.77
166.4981,-0.63
166.5981,1.07
166.6981,1.25
166.7981,0.12
166.8981,-3.45
166.9981,-6.56
167.0981,-2.13
167.1981,1.25
167.2981,0.97
167.3981,-1.66
167.4981,-6.84
167.5981,-17.57
167.6981,-20.77
167.7981,-10.23
167.8981,-3.92
167.9981,0.5
168.0981,0.22
168.1981,-1.38
168.2981,-5.99
168.3981,-2.42
168.4981,0.69
168.5981,2.01
168.6981,1.35
168.7981,-0.35
168.8981,-5.62
168.9981,-5.71
169.0981,-0.06
169.1981,2.57
169.2981,2.67
169.3981,2.29
169.4981,-0.72
169.5981,-8.53
169.6981,-4.2
169.7981,0.41
169.8981,2.85
169.9981,2.38
170.0981,0.5
170.1981,-3.36
170.2981,-5.24
170.3981,-0.82
170.4981,1.44
170.5981,2.1
170.6981,0.88
170.7981,-3.17
170.8981,-8.44
170.9981,-3.36
171.0981,1.25
171.1981,2.19
171.2981,2.19
171.3981,0.97
171.4981,-4.3
171.5981,-8.72
171.6981,-1.66
171.7981,1.07
171.8981,3.04
171.9981,2.38
172.0981,-1.95
172.1981,-5.71
172.2981,-3.92
172.3981,-0.35
172.4981,1.35
172.5981,2.85
172.6981,0.12
172.7981,-6.09
172.8981,-6.09
172.9981,-0.91
173.0981,1.91
173.1981,1.91
173.2981,0.69
173.3981,-4.39
173.4981,-13.71
173.5981,-18.42
173.6981,-13.33
173.7981,-5.9
173.8981,-2.7
173.9981,-1.1
174.0981,-4.86
174.1981,-6.09
174.2981,-1.57
174.3981,1.82
174.4981,2.95
174.5981,1.91
174.6981,-1.38
174.7981,-7.69
174.8981,-3.92
174.9981,0.31
175.0981,1.82
175.1981,2.38
175.2981,1.07
175.3981,-3.08
175.4981,-8.53
175.5981,-3.64
