StatType:1
NumBins:1912
StartFreq:491898100
PerBin:real and imaginary coefficients
-0.312, 1.032
0.178, 1.160
0.698, 1.075
1.159, 0.776
1.474, 0.300
1.577, -0.283
1.438, -0.875
1.069, -1.376
0.526, -1.697
-0.099, -1.781
-0.704, -1.616
-1.191, -1.237
-1.487, -0.712
-1.555, -0.130
-1.397, 0.415
-1.052, 0.840
-0.583, 1.087
-0.069, 1.124
0.404, 0.955
0.762, 0.612
0.947, 0.153
0.923, -0.347
0.690, -0.803
0.275, -1.132
-0.260, -1.268
-0.830, -1.168
-1.333, -0.832
-1.671, -0.299
-1.772, 0.346
-1.607, 0.996
-1.193, 1.538
-0.599, 1.879
0.077, 1.968
0.728, 1.795
1.254, 1.398
1.585, 0.851
1.685, 0.240
1.554, -0.340
1.226, -0.812
0.762, -1.114
0.234, -1.210
-0.275, -1.095
-0.688, -0.791
-0.938, -0.349
-0.983, 0.158
-0.809, 0.643
-0.438, 1.017
0.069, 1.204
0.625, 1.159
1.126, 0.877
1.477, 0.400
1.604, -0.194
1.478, -0.797
1.118, -1.302
0.589, -1.624
-0.017, -1.714
-0.599, -1.565
-1.070, -1.213
-1.363, -0.724
-1.445, -0.179
-1.317, 0.340
-1.011, 0.757
-0.581, 1.014
-0.096, 1.081
0.367, 0.951
0.733, 0.647
0.942, 0.222
0.956, -0.255
0.766, -0.702
0.398, -1.033
-0.086, -1.184
-0.602, -1.115
-1.051, -0.830
-1.345, -0.375
-1.427, 0.164
-1.280, 0.691
-0.935, 1.109
-0.459, 1.350
0.062, 1.382
0.541, 1.211
0.903, 0.876
1.099, 0.439
1.107, -0.025
0.936, -0.444
0.619, -0.753
0.209, -0.906
-0.224, -0.879
-0.607, -0.675
-0.874, -0.326
-0.973, 0.108
-0.877, 0.555
-0.596, 0.928
-0.172, 1.152
0.316, 1.177
0.775, 0.992
1.117, 0.628
1.274, 0.154
1.226, -0.337
0.981, -0.760
0.592, -1.042
0.130, -1.137
-0.322, -1.039
-0.688, -0.770
-0.909, -0.381
-0.951, 0.062
-0.810, 0.483
-0.507, 0.812
-0.088, 0.993
0.379, 0.989
0.819, 0.789
1.153, 0.416
1.316, -0.079
1.263, -0.617
0.990, -1.104
0.533, -1.450
-0.035, -1.586
-0.617, -1.483
-1.109, -1.155
-1.427, -0.662
-1.521, -0.092
-1.384, 0.457
-1.048, 0.892
-0.579, 1.149
-0.064, 1.194
0.413, 1.033
0.776, 0.701
0.971, 0.256
0.968, -0.229
0.767, -0.675
0.394, -1.009
-0.098, -1.169
-0.634, -1.114
-1.124, -0.837
-1.478, -0.366
-1.622, 0.233
-1.511, 0.864
-1.147, 1.419
-0.581, 1.792
0.097, 1.913
0.770, 1.757
1.323, 1.355
1.670, 0.780
1.768, 0.133
1.616, -0.483
1.255, -0.976
0.752, -1.285
0.189, -1.378
-0.351, -1.253
-0.791, -0.937
-1.070, -0.481
-1.148, 0.045
-1.010, 0.562
-0.671, 0.987
-0.179, 1.245
0.393, 1.283
0.949, 1.077
1.386, 0.650
1.620, 0.063
1.592, -0.584
1.299, -1.176
0.786, -1.601
0.146, -1.783
-0.507, -1.699
-1.062, -1.369
-1.437, -0.862
-1.581, -0.267
-1.489, 0.319
-1.190, 0.808
-0.741, 1.136
-0.216, 1.264
0.307, 1.181
0.750, 0.906
1.047, 0.484
1.155, -0.020
1.053, -0.528
0.754, -0.960
0.300, -1.241
-0.240, -1.316
-0.776, -1.164
-1.211, -0.800
-1.463, -0.282
-1.480, 0.297
-1.259, 0.831
-0.842, 1.221
-0.312, 1.404
0.231, 1.354
0.691, 1.097
0.995, 0.688
1.102, 0.209
1.007, -0.256
0.738, -0.631
0.347, -0.857
-0.098, -0.903
-0.522, -0.762
-0.856, -0.458
-1.041, -0.035
-1.040, 0.439
-0.842, 0.888
-0.469, 1.232
0.027, 1.404
0.565, 1.364
1.052, 1.106
1.400, 0.672
1.548, 0.135
1.470, -0.411
1.187, -0.871
0.756, -1.172
0.260, -1.269
-0.213, -1.162
-0.583, -0.883
-0.794, -0.494
-0.819, -0.069
-0.665, 0.314
-0.366, 0.588
0.023, 0.706
0.430, 0.642
0.781, 0.402
1.008, 0.021
1.056, -0.442
0.903, -0.906
0.560, -1.286
0.074, -1.506
-0.479, -1.517
-1.004, -1.304
-1.410, -0.897
-1.625, -0.361
-1.614, 0.212
-1.382, 0.725
-0.978, 1.095
-0.478, 1.268
0.028, 1.228
0.457, 0.995
0.741, 0.621
0.840, 0.175
0.742, -0.263
0.467, -0.616
0.063, -0.820
-0.404, -0.831
-0.849, -0.638
-1.191, -0.259
-1.357, 0.252
-1.301, 0.819
-1.012, 1.341
-0.520, 1.727
0.107, 1.897
0.765, 1.809
1.350, 1.470
1.761, 0.932
1.935, 0.284
1.852, -0.368
1.536, -0.925
1.051, -1.308
0.479, -1.469
-0.088, -1.400
-0.562, -1.126
-0.877, -0.701
-0.989, -0.200
-0.886, 0.294
-0.587, 0.697
-0.142, 0.939
0.375, 0.971
0.875, 0.777
1.266, 0.373
1.463, -0.180
1.417, -0.792
1.114, -1.358
0.592, -1.771
-0.067, -1.949
-0.756, -1.854
-1.356, -1.496
-1.773, -0.938
-1.944, -0.271
-1.852, 0.396
-1.524, 0.965
-1.025, 1.354
-0.431, 1.525
0.159, 1.457
0.663, 1.177
1.010, 0.735
1.154, 0.205
1.076, -0.334
0.789, -0.795
0.336, -1.105
-0.213, -1.207
-0.771, -1.073
-1.239, -0.713
-1.532, -0.177
-1.586, 0.450
-1.378, 1.062
-0.933, 1.550
-0.325, 1.824
0.343, 1.836
0.958, 1.589
1.421, 1.128
1.663, 0.539
1.660, -0.078
1.428, -0.625
1.019, -1.024
0.511, -1.226
-0.014, -1.213
-0.476, -1.003
-0.807, -0.637
-0.959, -0.177
-0.909, 0.302
-0.665, 0.719
-0.265, 1.000
0.227, 1.090
0.723, 0.963
1.132, 0.633
1.374, 0.149
1.396, -0.402
1.186, -0.922
0.781, -1.313
0.252, -1.507
-0.303, -1.471
-0.786, -1.221
-1.120, -0.810
-1.258, -0.318
-1.191, 0.170
-0.945, 0.575
-0.569, 0.840
-0.129, 0.926
0.300, 0.826
0.646, 0.559
0.850, 0.170
0.870, -0.275
0.698, -0.696
0.357, -1.015
-0.101, -1.168
-0.597, -1.117
-1.042, -0.858
-1.350, -0.429
-1.458, 0.098
-1.342, 0.629
-1.019, 1.066
-0.554, 1.333
-0.034, 1.390
0.456, 1.234
0.831, 0.906
1.033, 0.468
1.039, 0.000
0.856, -0.419
0.521, -0.717
0.094, -0.845
-0.347, -0.782
-0.726, -0.532
-0.972, -0.137
-1.031, 0.342
-0.881, 0.823
-0.529, 1.217
-0.026, 1.444
0.551, 1.447
1.101, 1.208
1.519, 0.756
1.725, 0.164
1.678, -0.467
1.385, -1.026
0.900, -1.422
0.309, -1.594
-0.289, -1.522
-0.799, -1.230
-1.146, -0.773
-1.285, -0.230
-1.201, 0.315
-0.913, 0.777
-0.468, 1.087
0.067, 1.197
0.609, 1.082
1.071, 0.755
1.372, 0.256
1.451, -0.340
1.280, -0.938
0.869, -1.431
0.279, -1.727
-0.394, -1.760
-1.031, -1.515
-1.519, -1.032
-1.768, -0.397
-1.743, 0.276
-1.455, 0.871
-0.966, 1.291
-0.367, 1.475
0.240, 1.407
0.755, 1.109
1.102, 0.640
1.230, 0.078
1.124, -0.484
0.800, -0.960
0.307, -1.273
-0.282, -1.367
-0.877, -1.219
-1.384, -0.837
-1.715, -0.269
-1.802, 0.407
-1.614, 1.084
-1.167, 1.650
-0.522, 2.004
