Frequency(MHz),Power(dBmV/100kHz)_20260203_091320
151.5981,-51.98
151.6981,-51.79
151.7981,-51.42
151.8981,-52.07
151.9981,-52.92
152.0981,-52.64
152.1981,-52.83
152.2981,-52.54
152.3981,-52.83
152.4981,-53.67
152.5981,-55.56
152.6981,-54.05
152.7981,-52.54
152.8981,-52.83
152.9981,-53.49
153.0981,-55.74
153.1981,-54.8
153.2981,-52.83
153.3981,-51.51
153.4981,-52.83
153.5981,-53.49
153.6981,-53.49
153.7981,-52.83
153.8981,-51.32
153.9981,-52.83
154.0981,-52.83
154.1981,-51.98
154.2981,-51.7
154.3981,-50.38
154.4981,-50.19
154.5981,-51.89
154.6981,-52.17
154.7981,-52.26
154.8981,-52.73
154.9981,-53.49
155.0981,-52.54
155.1981,-52.45
155.2981,-53.39
155.3981,-52.64
155.4981,-52.54
155.5981,-54.14
155.6981,-55.84
155.7981,-54.99
155.8981,-53.67
155.9981,-52.92
156.0981,-52.73
156.1981,-54.05
156.2981,-54.14
156.3981,-53.86
156.4981,-53.02
156.5981,-52.54
156.6981,-52.26
156.7981,-52.07
156.8981,-52.92
156.9981,-53.49
157.0981,-53.11
157.1981,-53.11
157.2981,-52.17
157.3981,-50.85
157.4981,-51.7
157.5981,-50.76
157.6981,-50.1
157.7981,-51.42
157.8981,-53.2
157.9981,-53.67
158.0981,-52.45
158.1981,-53.02
158.2981,-52.83
158.3981,-53.02
158.4981,-54.43
158.5981,-54.24
158.6981,-53.77
158.7981,-54.05
158.8981,-53.67
158.9981,-53.58
159.0981,-54.05
159.1981,-53.77
159.2981,-53.49
159.3981,-54.24
159.4981,-53.11
159.5981,-52.73
159.6981,-52.83
159.7981,-52.73
159.8981,-51.7
159.9981,-52.73
160.0981,-53.02
160.1981,-53.39
160.2981,-52.83
160.3981,-52.73
160.4981,-52.92
160.5981,-52.45
160.6981,-51.51
160.7981,-52.17
160.8981,-52.73
160.9981,-52.83
161.0981,-54.05
161.1981,-53.77
161.2981,-52.64
161.3981,-51.98
161.4981,-52.36
161.5981,-52.45
161.6981,-53.86
161.7981,-53.86
161.8981,-53.77
161.9981,-52.92
162.0981,-52.36
162.1981,-51.04
162.2981,-50.47
162.3981,-52.54
162.4981,-53.39
162.5981,-54.05
162.6981,-54.24
162.7981,-52.45
162.8981,-51.89
162.9981,-53.11
163.0981,-52.07
163.1981,-53.2
163.2981,-53.3
163.3981,-52.92
163.4981,-53.77
163.5981,-53.11
163.6981,-52.92
163.7981,-53.39
163.8981,-54.05
163.9981,-54.05
