Frequency(MHz),Power(dBmV/100kHz)_20260202_204320
155.8981,-53.47
155.9981,-53.28
156.0981,-53.85
156.1981,-53.19
156.2981,-54.13
156.3981,-54.32
156.4981,-53.0
156.5981,-52.25
156.6981,-53.66
156.7981,-52.81
156.8981,-51.78
156.9981,-52.06
157.0981,-51.68
157.1981,-53.09
157.2981,-51.97
157.3981,-53.0
157.4981,-54.13
157.5981,-53.85
157.6981,-53.94
157.7981,-54.69
157.8981,-54.79
157.9981,-55.17
158.0981,-55.92
158.1981,-55.64
158.2981,-54.79
158.3981,-55.26
158.4981,-54.13
158.5981,-54.69
158.6981,-54.88
158.7981,-53.57
158.8981,-53.47
158.9981,-52.72
159.0981,-53.28
159.1981,-53.75
159.2981,-54.6
159.3981,-56.11
159.4981,-54.98
159.5981,-54.32
159.6981,-54.79
159.7981,-53.57
159.8981,-52.34
159.9981,-51.59
160.0981,-51.31
160.1981,-52.44
160.2981,-53.09
160.3981,-53.0
160.4981,-52.72
160.5981,-53.28
160.6981,-54.13
160.7981,-54.32
160.8981,-54.41
160.9981,-54.69
161.0981,-54.22
161.1981,-53.57
161.2981,-54.69
161.3981,-54.32
161.4981,-54.13
161.5981,-54.79
161.6981,-54.13
161.7981,-53.57
161.8981,-52.34
161.9981,-48.29
162.0981,-42.46
162.1981,-46.04
162.2981,-53.85
162.3981,-54.32
162.4981,-55.26
162.5981,-57.71
162.6981,-55.17
162.7981,-54.69
162.8981,-56.2
162.9981,-54.88
163.0981,-53.66
163.1981,-53.28
163.2981,-52.91
163.3981,-53.0
163.4981,-53.57
163.5981,-51.68
163.6981,-52.72
163.7981,-56.01
163.8981,-56.01
163.9981,-54.13
164.0981,-54.13
164.1981,-54.22
164.2981,-54.13
164.3981,-55.17
164.4981,-54.51
164.5981,-53.0
164.6981,-52.44
164.7981,-51.49
164.8981,-51.49
164.9981,-52.62
165.0981,-52.62
165.1981,-53.19
165.2981,-53.57
165.3981,-54.22
165.4981,-54.41
165.5981,-53.38
165.6981,-53.85
165.7981,-54.69
165.8981,-54.79
165.9981,-54.32
166.0981,-54.6
166.1981,-53.85
166.2981,-53.47
166.3981,-54.22
166.4981,-55.45
166.5981,-55.17
166.6981,-54.32
166.7981,-52.81
166.8981,-53.19
166.9981,-53.47
167.0981,-54.13
167.1981,-55.45
167.2981,-56.2
167.3981,-54.69
167.4981,-54.13
167.5981,-54.88
167.6981,-54.04
167.7981,-53.0
167.8981,-53.28
167.9981,-53.47
168.0981,-52.62
168.1981,-52.62
168.2981,-53.19
168.3981,-53.38
168.4981,-51.97
168.5981,-51.97
168.6981,-52.53
168.7981,-53.85
168.8981,-54.88
168.9981,-54.41
169.0981,-56.11
169.1981,-54.69
169.2981,-54.88
169.3981,-55.45
169.4981,-55.73
169.5981,-54.04
169.6981,-54.32
169.7981,-54.51
169.8981,-55.45
169.9981,-54.88
170.0981,-52.81
170.1981,-53.19
170.2981,-56.11
170.3981,-56.01
170.4981,-56.67
170.5981,-56.29
170.6981,-55.45
170.7981,-54.79
170.8981,-55.45
170.9981,-56.2
171.0981,-55.45
171.1981,-53.57
171.2981,-53.0
171.3981,-53.75
171.4981,-54.22
171.5981,-52.44
171.6981,-51.21
171.7981,-52.44
171.8981,-53.75
171.9981,-54.41
172.0981,-56.11
172.1981,-55.82
172.2981,-56.2
172.3981,-55.73
172.4981,-55.45
172.5981,-53.38
172.6981,-53.38
172.7981,-53.66
172.8981,-53.75
172.9981,-53.47
173.0981,-53.38
173.1981,-54.04
173.2981,-53.66
173.3981,-52.53
173.4981,-53.28
173.5981,-53.09
173.6981,-55.26
173.7981,-56.67
173.8981,-56.11
173.9981,-56.29
174.0981,-55.26
174.1981,-55.54
174.2981,-56.95
174.3981,-54.98
174.4981,-54.79
174.5981,-54.41
174.6981,-54.32
174.7981,-55.07
174.8981,-55.07
174.9981,-53.47
175.0981,-55.17
175.1981,-54.69
175.2981,-56.58
175.3981,-57.8
175.4981,-56.29
175.5981,-54.32
175.6981,-54.04
175.7981,-54.22
175.8981,-53.75
175.9981,-52.34
176.0981,-52.53
176.1981,-53.38
176.2981,-53.66
176.3981,-54.13
176.4981,-53.57
176.5981,-55.07
176.6981,-55.35
176.7981,-55.54
176.8981,-55.64
176.9981,-55.73
177.0981,-56.86
177.1981,-55.82
177.2981,-54.22
177.3981,-54.6
177.4981,-54.51
177.5981,-54.51
177.6981,-55.07
177.7981,-54.13
177.8981,-52.81
177.9981,-54.51
178.0981,-55.26
178.1981,-53.19
178.2981,-52.34
178.3981,-54.04
178.4981,-55.26
178.5981,-55.64
178.6981,-55.92
178.7981,-54.98
178.8981,-55.92
178.9981,-55.45
179.0981,-54.22
179.1981,-54.79
179.2981,-54.79
179.3981,-53.85
179.4981,-54.6
179.5981,-53.94
179.6981,-55.17
179.7981,-56.2
179.8981,-56.01
179.9981,-55.26
180.0981,-54.98
180.1981,-55.54
180.2981,-57.24
180.3981,-57.52
180.4981,-56.58
180.5981,-56.01
180.6981,-54.88
180.7981,-53.0
180.8981,-53.57
180.9981,-53.09
181.0981,-52.53
181.1981,-54.69
181.2981,-54.79
181.3981,-55.82
181.4981,-54.41
181.5981,-54.51
181.6981,-55.45
181.7981,-55.35
181.8981,-56.11
181.9981,-56.86
182.0981,-57.42
182.1981,-56.39
182.2981,-56.2
182.3981,-56.39
182.4981,-54.79
